2014/06/16 23:48:38 [T] [PO62940613] STATE:OK
2014/06/16 23:48:38 [T] [PO62940669] STATE:OK
2014/06/16 23:48:38 [T] [PO62940687] STATE:OK
2014/06/16 23:48:38 [T] [J?79288331] STATE:OK
2014/06/16 23:48:38 [T] [JX79288316] STATE:OK
2014/06/16 23:48:38 [T] [PO62940613] STATE:OK
2014/06/16 23:48:38 [T] [PO62940669] STATE:OK
2014/06/16 23:48:38 [T] [PO62940687] STATE:OK
2014/06/16 23:48:39 [T] [J?79288331] STATE:OK
2014/06/16 23:48:39 [T] [JX79288316] STATE:OK
2014/06/16 23:48:39 [T] [PO62940613] STATE:OK
2014/06/16 23:48:39 [T] [PO62940669] STATE:OK
2014/06/16 23:48:39 [T] [PO62940687] STATE:OK
2014/06/16 23:48:39 [T] [J?79288331] STATE:OK
2014/06/16 23:48:39 [T] [JX79288316] STATE:OK
2014/06/16 23:48:39 [T] [PO62940613] STATE:OK
2014/06/16 23:48:39 [T] [PO62940669] STATE:OK
2014/06/16 23:48:39 [T] [PO62940687] STATE:OK
2014/06/16 23:48:39 [T] [J?79288331] STATE:OK
2014/06/16 23:48:39 [T] [JX79288316] STATE:OK
2014/06/16 23:48:39 [T] [PO62940613] STATE:OK
2014/06/16 23:48:39 [T] [PO62940669] STATE:OK
2014/06/16 23:48:39 [T] [PO62940687] STATE:OK
2014/06/16 23:48:39 [T] [J?79288331] STATE:OK
2014/06/16 23:48:39 [T] [JX79288316] STATE:OK
2014/06/16 23:48:39 [T] [PO62940613] STATE:OK
2014/06/16 23:48:40 [T] [PO62940669] STATE:OK
2014/06/16 23:48:40 [T] [PO62940687] STATE:OK
2014/06/16 23:48:40 [T] [J?79288331] STATE:OK
2014/06/16 23:48:40 [T] [JX79288316] STATE:OK
2014/06/16 23:48:40 [T] [PO62940613] STATE:OK
2014/06/16 23:48:40 [T] [PO62940669] STATE:OK
2014/06/16 23:48:40 [T] [PO62940687] STATE:OK
2014/06/16 23:48:40 [T] [J?79288331] STATE:OK
2014/06/16 23:48:40 [T] [JX79288316] STATE:OK
2014/06/16 23:48:40 [T] [PO62940613] STATE:OK
2014/06/16 23:48:40 [T] [PO62940669] STATE:OK
2014/06/16 23:48:40 [T] [PO62940687] STATE:OK
2014/06/16 23:48:40 [T] [J?79288331] STATE:OK
2014/06/16 23:48:40 [T] [JX79288316] STATE:OK
2014/06/16 23:48:40 [T] [PO62940613] STATE:OK
2014/06/16 23:48:40 [T] [PO62940669] STATE:OK
2014/06/16 23:48:40 [T] [PO62940687] STATE:OK
2014/06/16 23:48:40 [T] [J?79288331] STATE:OK
2014/06/16 23:48:40 [T] [JX79288316] STATE:OK
2014/06/16 23:48:40 [T] [PO62940613] STATE:OK
2014/06/16 23:48:40 [T] [PO62940669] STATE:OK
2014/06/16 23:48:40 [T] [PO62940687] STATE:OK
2014/06/16 23:48:40 [T] [J?79288331] STATE:OK
2014/06/16 23:48:40 [T] [JX79288316] STATE:OK
2014/06/16 23:48:40 [T] [PO62940613] STATE:OK
2014/06/16 23:48:41 [T] [PO62940669] STATE:OK
2014/06/16 23:48:41 [T] [PO62940687] STATE:OK
2014/06/16 23:48:41 [T] [J?79288331] STATE:OK
2014/06/16 23:48:41 [T] [JX79288316] STATE:OK
2014/06/16 23:48:41 [T] [PO62940613] STATE:OK
2014/06/16 23:48:41 [T] [PO62940669] STATE:OK
2014/06/16 23:48:41 [T] [PO62940687] STATE:OK
2014/06/16 23:48:41 [T] [J?79288331] STATE:OK
2014/06/16 23:48:41 [T] [JX79288316] STATE:OK
2014/06/16 23:48:41 [T] [PO62940613] STATE:OK
2014/06/16 23:48:41 [T] [PO62940669] STATE:OK
2014/06/16 23:48:41 [T] [PO62940687] STATE:OK
2014/06/16 23:48:41 [T] [J?79288331] STATE:OK
2014/06/16 23:48:41 [T] [JX79288316] STATE:OK
2014/06/16 23:48:41 [T] [PO62940613] STATE:OK
2014/06/16 23:48:41 [T] [PO62940669] STATE:OK
2014/06/16 23:48:41 [T] [PO62940687] STATE:OK
2014/06/16 23:48:41 [T] [J?79288331] STATE:OK
